SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.48,Fixed,No,,18,0,0,No,,,HK::c047a22646b843d244beee40d27dc8d4db545175,Mercury Energy Marketing LLC,4.48,18
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Ste. 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.58,Fixed,No,,24,0,0,No,,,HK::c047a22646b843d244beee40d27dc8d4db545175,Mercury Energy Marketing LLC,4.58,24
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,4.75,Fixed,No,,24,0,0,Yes,Fixed rate 24 with $50/month in Symmetry Rewards,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of mind knowing exactly what your natural gas rate will be regardless of any increasing costs of natural gas in the market,HK::4648607c46f0edec87f4a5916a3d249f2704525f,Symmetry Energy Solutions LLC,4.75,24
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,5.69,Fixed,No,,24,10,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO,HK::bc476a51b0cf7a9dff840637e734d304c411c3ca,My Choice Energy LLC,5.69,24
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-live-brighter-12?msid=5360,5.69,Fixed,No,,12,0,0,No,,New Customers Only,HK::3f23b42ed95dd00da7634a3638c990051f87cf6a,Direct Energy Services LLC,5.69,12
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,4 Houston Center   1221 Lamar Street   Suite 750,,Houston,TX,77010,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=6355,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,7.29,Variable,No,,1,0,0,No,,Monthly MVR Rate,HK::0f9ccb4bfb29424bd4fb1cb19cf0fb74457f3c80,Constellation NewEnergy-Gas Division LLC,7.29,1
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_36,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_36,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_36,5.89,Fixed,No,,36,0,0,Yes,Enroll in this price plan and you’ll receive up to $108 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com.,This offer is limited to residential customers of Dominion East Ohio and is valid for both new and existing customers. Please Note: You will need to provide your zip code to see if the respective offer appears and will be available to you. Based upon zip code  this offer is not available to all customers of Dominion East Ohio.,HK::23ebc4643da55559f77aa74815ddccf68e37331f,AEP Energy Inc,5.89,36
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,OH,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,6.19,Fixed,No,,36,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::da618bdc041bb88da941c02c8b65a7b3372daa40,Just Energy,6.19,36
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,OH,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.79,Fixed,No,,12,75,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::0969cc229a5fce5ddf854114216890855fb6e317,CleanSky Energy,4.79,12
Utility Gas and Power,LE Energy LLC,2680 Corporate Park Dr,Ste 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=6.99-12mos,6.99,Fixed,No,,12,150,0,No,,Guaranteed fixed rate with price protection!,HK::08e4f70d4c935537a2ee2213d3c2f33a6d1f0ef4,Utility Gas and Power,6.99,12
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.49,Fixed,No,,12,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Plus earn 3% REWARDS with Shipley Energy's Rewards Program. For New Customers Only.,HK::cf8741578093293e45e8ea3299988c2361c5695a,Shipley Choice  LLC,4.49,12
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com,https://xoomenergy.com/uploads/rates/terms-email/360655-en.pdf,http://xoomenergy.com/en/residential/ohio/dominion-east-of-ohio?der=73,5.79,Fixed,No,,12,110,0,No,,XOOM Energy's SureLock 12 fixed rate product,HK::0aa6de1f794bc5947434a580ed112fe6dad468c5,XOOM Energy Ohio LLC,5.79,12
Major Energy Services LLC,Major Energy Services LLC,12140 Wickchester Ln Suite #100,Ste 100,Houston,TX,77079,(888) 625-6760,https://majorenergy.com/,https://majorenergy.com/enroll/?getproductpdf=1&PromotionCode=&ProductID=149952&type=TOS&title=Terms+of+Service,https://majorenergy.com/enroll/,5.65,Fixed,No,,12,0,0,No,,A great choice for new customers to lock in a fixed rate. Enjoy peace of mind with a consistent rate for 12 months. With this energy plan  there is no monthly service fee and no early termination fee.,HK::0e124cf35879675d0e3fbd91f135dddd8c14a244,Major Energy Services LLC,5.65,12
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-live-brighter-18?msid=5360,5.89,Fixed,No,,18,0,0,No,,New Customers Only,HK::4c04bc199e3935cc9a70e9d99f8b04be7fd596eb,Direct Energy Services LLC,5.89,18
Snyder Brothers Energy Marketing LLC,Snyder Brothers Energy Marketing LLC,P.O. Box 1022,1 Glade Park East,Kittanning,PA,16201,(800) 394-8101,www.snyderbrothersinc.com,www.snyderbrothersinc.com,www.snyderbrothersinc.com,5.21,Variable,No,5.21,1,0,0,No,Monthly Variable Rate,Monthly MVR Rate,HK::b2c70935f0e1ab84b2bc43087785fd60677809fc,Snyder Brothers Energy Marketing LLC,5.21,1
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www.ntherm.com,3.19,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,,HK::45ea51f3a5a3d726c42981cf159501198d079aab,nTherm  LLC,3.19,1
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.19,Variable,No,,1,0,0,No,,Monthly Variable Rate Plan - MVR Customers Only,HK::02219c7e677054c0bc7707e9fd2c8a3b17cd45a0,Symmetry Energy Solutions LLC,5.19,1
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,5.57,Fixed,No,,18,12.5,0,No,,,HK::757c95d3c9665561ca08c4a00bb91a071267a024,Ohio Natural Gas,5.57,18
Median Energy Corp,Median Energy Corp,1 lethbridge plaza,ste 2,mahwah,NJ,07430,(888) 316-5443,www.medianenergy.com,https://static1.squarespace.com/static/5773a908e6f2e1fedd359c1b/t/5bbe3234a4222f91c8771369/1539191349399/Median+OH+Terms+and+Conditions+.pdf,http://www.medianenergy.com/sign-up/,8,Variable,No,,0,0,0,No,,,HK::40ad25ae5d1da3d8c8541afa541e3d31ac509db0,Median Energy Corp,8,0
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,6.5,Fixed,No,,12,0,0,No,,$6.50 per MCF for the first 12 months  then a monthly variable rate,HK::c7b882ac79870dd0bc842330673f9d0118c0d813,Eastern Power and Gas LLC,6.5,12
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,6.99,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::67bcabacfd3f2bae4b4b89cba32476a0deb7961b,IGS Energy,6.99,24
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/dom/residential/,https://mercuryenergyohio.com/plans/dom/residential/,4.08,Fixed,No,,6,0,0,No,,,HK::f1e43ae475d7be5a36d094bc0835066aa2b7f0a5,Mercury Energy Marketing LLC,4.08,6
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=D3E6D7DF-3744-4769-AE62-B2475F5FBF2F&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=D3E6D7DF-3744-4769-AE62-B2475F5FBF2F&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.19,Fixed,No,,12,0,0,No,,Get peace of mind with a fixed rate for 12 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::0608173325a99112b5fb9b360a14eaa8b2467a58,Ohio Gas & Electric,4.19,12
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,5.89,Fixed,No,,24,0,0,Yes,Enroll in this price plan and you’ll receive up to $72 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com.,This offer is limited to residential customers of Dominion East Ohio and is valid for both new and existing customers. Please Note: You will need to provide your zip code to see if the respective offer appears and will be available to you. Based upon zip code  this offer is not available to all customers of Dominion East Ohio.,HK::1209b632f890e8d067f87e29c767504a6f1611a2,AEP Energy Inc,5.89,24
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-state-fixed?msid=5360,5.19,Fixed,No,,8,0,0,No,,New Customers Only,HK::d9c79d639d475f6711e469ab814995ace08c142f,Direct Energy Services LLC,5.19,8
Major Energy Services LLC,Major Energy Services LLC,12140 Wickchester Ln Suite #100,Ste 100,Houston,TX,77079,(888) 825-6760,https://majorenergy.com/,https://majorenergy.com/enroll/?getproductpdf=1&PromotionCode=&ProductID=149953&type=TOS&title=Terms+of+Service,https://majorenergy.com/enroll/,5.99,Fixed,No,,6,0,0,No,,A great choice for new customers to lock in a fixed rate. Enjoy peace of mind with a consistent rate for 6 months. With this energy plan  there is no monthly service fee and no early termination fee.,HK::9674c1d9ed0694e7b6a47b2ef6bdc1b2f970393f,Major Energy Services LLC,5.99,6
SFE Energy Ohio  Inc,SFE Energy Ohio  Inc,PO BOX 967,,Buffalo,NY,14240-0967,(866) 255-3844,https://www.sfeenergy.com/,https://signup.sfeenergy.com/terms-of-use.html,https://www.sfeenergy.com/ohio/,8.19,Fixed,No,,12,7.5,0,Yes,Receive 4 FREE LED bulbs after 2 months (60 calendar days) of consecutive flow with the company.,Our fixed-price energy plan provides rate stability. This is a 12-month fixed rate plan exclusively for Enbridge Gas of Ohio (Dominion) customers only.,HK::59da96230700b672ddbc0b5e7eb192c8408e88a8,SFE Energy Ohio  Inc,8.19,12
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=0ED9B9A5-5BDF-4F4A-B1B4-A493A0FDA694&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=0ED9B9A5-5BDF-4F4A-B1B4-A493A0FDA694&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,3.99,Variable,No,,0,0,0,No,,Enjoy a no-commitment plan + $50 monthly Reward Dollars. Must have an active account. Special offer for new  online customers.,HK::a64c81c04724f51c654c772075ce87f3babfc562,Ohio Gas & Electric,3.99,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,OH,77002,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=13980,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,5.49,Fixed,No,,9,150,0,No,,,HK::35dbd37b7419ab5e2283e9b666c0e05000ddf7ec,Constellation NewEnergy-Gas Division LLC,5.49,9
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=4D24109E-C849-433C-B9CD-C9543D7216DC&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=4D24109E-C849-433C-B9CD-C9543D7216DC&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.146,Fixed,No,,6,0,0,No,,Get peace of mind with a fixed rate for 6 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::e9dd8ebbfceef6d263f9ae37d904c3c795a64b9a,Ohio Gas & Electric,4.146,6
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,5.77,Fixed,No,,12,12.5,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today.,HK::1bee3263d941804382a366707c7ef50cbe926cc6,Ohio Natural Gas,5.77,12
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/dom/residential/,https://mercuryenergyohio.com/plans/dom/residential/,4.58,Fixed,No,,12,0,0,No,,,HK::f1e43ae475d7be5a36d094bc0835066aa2b7f0a5,Mercury Energy Marketing LLC,4.58,12
