SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_PRICE_GUARD_PLAN_TnC_ENG_V01_AUG_16_2023.pdf,https://justenergy.com/ohapplestoapples/,0.589,Fixed,No,,36,50,19.99,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::1cd47c4866ad11a74f859c6c85d01fea1aebba3d,Just Energy,0.589,36,50
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,0.999,Fixed,No,,36,199,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length. ,HK::ac6b0be1bb25d34f830558038e07e65c2b774824,IGS Energy,0.999,36,199
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,0.817,Fixed,No,,60,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only. ,HK::9d75a17cb0308ed8402c9f3a41ac88738facea92,Just Energy,0.817,60,50
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com/en,https://xoomenergy.com/uploads/rates/terms-email/377935-en.pdf,http://xoomenergy.com/en/residential/?des=oh&deu=30&utm_source=puco&utm_medium=signuplink&utm_campaign=colohio,0.709,Fixed,No,,12,110,0,No,,XOOM Energy's SureLock 12 fixed plan,HK::e73a2a652615c06d97dd655dfd03e6c815498df4,XOOM Energy Ohio LLC,0.709,12,110
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=7931,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,0.679,Fixed,No,,12,150,0,No,,,HK::9129b44459f0f208bf04821dc98147d938cbe12d,Constellation NewEnergy-Gas Division LLC,0.679,12,150
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 1950,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/columbia-gas-ohio-res/,https://mercuryenergyohio.com/columbia-gas-ohio-res/,0.525,Variable,No,,1,0,0,No,,,HK::b9d6e18304402dfab328e03be6de150db20eeded,Mercury Energy Marketing LLC,0.525,1,0
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=81&promocode=APPLESZERO,0.649,Fixed,No,,6,50,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::33fc30b44d89243403cfc40bb77b7ac85c1b22b5,CleanSky Energy,0.649,6,50
Energy Harbor LLC,Energy Harbor LLC,168 East Market Street,,Akron,OH,44308,(855) 487-0822,https://energyharbor.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.energyharbor.com/cust/?PID=66A633BF-B920-40CB-B37C-7E414A04C3F4&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,https://shopping.energyharbor.com/cust/?PID=66A633BF-B920-40CB-B37C-7E414A04C3F4&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,0.659,Fixed,No,,18,0,0,No,,Avoid price swings with a fixed natural gas rate for 18 months. Special offer for new  online customers.,HK::e7ceb54afb97be37f4c9343373a9bf8ac7f4678b,Energy Harbor LLC,0.659,18,0
Energy Harbor LLC,Energy Harbor LLC,168 East Market Street,,Akron,OH,44308,(855) 487-0822,https://energyharbor.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.energyharbor.com/cust/?PID=7349E8C8-D259-4EFB-84A1-68E86823CB9A&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,https://shopping.energyharbor.com/cust/?PID=7349E8C8-D259-4EFB-84A1-68E86823CB9A&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,0.699,Fixed,No,,9,0,0,No,,Avoid price swings with a fixed natural gas rate for 9 months. Special offer for new  online customers.,HK::e7ceb54afb97be37f4c9343373a9bf8ac7f4678b,Energy Harbor LLC,0.699,9,0
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,0.929,Fixed,No,,12,99,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length. ,HK::ac6b0be1bb25d34f830558038e07e65c2b774824,IGS Energy,0.929,12,99
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com/en,https://xoomenergy.com/uploads/rates/terms-email/377942-en.pdf,http://xoomenergy.com/en/residential/?des=oh&deu=30&utm_source=puco&utm_medium=signuplink&utm_campaign=colohio,0.749,Fixed,No,,24,220,0,No,,XOOM Energy's SureLock 24 fixed plan,HK::c07a9a8338998d94615292ad335445613d1dcd8c,XOOM Energy Ohio LLC,0.749,24,220
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/columbia-gas-ohio-res/,0.698,Fixed,No,,36,0,0,No,,,HK::655d4d5407b3e3ef2142e7546d67888d2241ef25,Mercury Energy Marketing LLC,0.698,36,0
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FIX_6M_M3_COHOHG&utm_content=gas,0.5814,Fixed,No,,6,100,0,Yes,Enter gift card and tech giveaways with Santanna Rewards! THIS PRODUCT IS ONLY AVAILABLE FOR NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,Fixed Price 6-month initial term. ONLY AVAILABLE TO NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,HK::7102884c69702e303590d17a22e7e03d1905e1a6,Santanna Energy Services,0.5814,6,100
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,0.759,Fixed,No,,24,10,0,No,,,HK::218d673b6396cf8f257cdd06a6cf1f39ff1eba08,My Choice Energy LLC,0.759,24,10
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,0.739,Fixed,No,,12,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. For New Customers Only.,HK::b8bfbbd2ccba74f85297603c8aec35e153d7528a,Shipley Choice  LLC,0.739,12,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,0.859,Fixed,No,,18,12.5,0,No,,,HK::ac1987173804455ef62ed894d81df8aa95813569,Ohio Natural Gas,0.859,18,12.5
SFE Energy Ohio  Inc,SFE Energy Ohio  Inc,PO BOX 967,,Buffalo,NY,14240-0967,(866) 255-3844,https://www.sfeenergy.com/,https://www.sfeenergy.com/wp-content/uploads/2025/09/TC_OH_RESI_PLD003_03_OCT_22.pdf,https://signup.sfeenergy.com/,0.599,Fixed,No,,6,7.5,20.99,Yes,Receive 4 FREE LED bulbs after 2 months (60 calendar days) of consecutive flow with the company.,Online offer only and this offer is exclusively available to new customers. To enroll  please visit our sign-up page at https://signup.sfeenergy.com/ or call us at 1-866-255-3844.   SFE Energy will also plant 1 complimentary tree on your behalf. SFE Energy will purchase carbon emissions credits to offset 1.5 tonnes per 1 000 Ccf of the natural gas carbon footprint from your household usage  which is equivalent to 25% carbon emissions reduction. An early cancellation fee of $7.50 plus applicable taxes for each month or partial month remaining on the natural gas supply service Agreement Term will apply if the Agreement is terminated prior to the end of the Term selected. You may pay a daily customer charge in the amount of $0.69  which includes commodity related charges to provide you with your natural gas supply service. ,HK::13eafdd91ddbba8614adad53b679cf46aaebc61f,SFE Energy Ohio  Inc,0.599,6,7.5
Kiwi Energy,Kiwi Energy NY LLC,144 North 7th #417,,Brooklyn,NY,11222,(877) 208-7636,www.kiwienergy.us,www.kiwienergy.us,www.kiwienergy.us,0.699,Variable,Yes,Price is set for first month and variable thereafter.,36,0,0,No,,Zero Gas 100 is a month-to-month variable rate product for 36 months  matches 100% of usage with Carbon Offsets and no cancellation fees. Customers receive $25 in Kiwi Rewards Dollars each month. No guaranteed savings,HK::b943989ca494038eeb8002091caeca387a793cc7,Kiwi Energy,0.699,36,0
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,0.979,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length. ,HK::ac6b0be1bb25d34f830558038e07e65c2b774824,IGS Energy,0.979,24,149
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=8D43A666-E0B4-4A42-91F9-734729FFA1B7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=8D43A666-E0B4-4A42-91F9-734729FFA1B7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.639,Variable,No,,0,0,0,No,,Enjoy a no-commitment plan + $50 monthly Reward Dollars. Must have an active account. Special offer for new  online customers.,HK::9924470e04e122c898bd50d307d13e8d56fe7445,Ohio Gas & Electric,0.639,0,0
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=81&promocode=APPLESZERO,0.649,Fixed,No,,12,75,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::33fc30b44d89243403cfc40bb77b7ac85c1b22b5,CleanSky Energy,0.649,12,75
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com/en,https://xoomenergy.com/uploads/rates/terms-email/377939-en.pdf,http://xoomenergy.com/en/residential/ohio/natural-gas/columbia-of-ohio?der=3722,0.749,Fixed,No,,12,110,0,Yes,Get the peace of mind you deserve with our RescueLock 12 fixed rate plan!  Enroll on RescueLock 12 and 5% of your monthly energy charges will be donated to PetSmart Charities!*,RescueLock 12,HK::c37d2fa21fa23429f4490f898652d7000c8a0149,XOOM Energy Ohio LLC,0.749,12,110
Energy Harbor LLC,Energy Harbor LLC,168 East Market Street,,Akron,OH,44308,(855) 487-0822,https://energyharbor.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.energyharbor.com/cust/?PID=4F1C52C3-879B-415F-9FC2-073D92363966&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,https://shopping.energyharbor.com/cust/?PID=4F1C52C3-879B-415F-9FC2-073D92363966&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,36,0,0,No,,Avoid price swings with a fixed natural gas rate for 36 months. Special offer for new  online customers.,HK::e7ceb54afb97be37f4c9343373a9bf8ac7f4678b,Energy Harbor LLC,0.639,36,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=0A3DD8D7-3344-4A40-AE7D-6EF1A7084AEF&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=0A3DD8D7-3344-4A40-AE7D-6EF1A7084AEF&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,36,0,0,No,,Get peace of mind with a fixed rate for 36 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.639,36,0
Major Energy Services LLC,Major Energy Services LLC,12140 Wickchester Ln Suite #100,Ste 100,Houston,TX,77079,(888) 625-6760,https://majorenergy.com/,https://majorenergy.com/enroll/?getproductpdf=1&PromotionCode=&ProductID=147608&type=TOS&title=Terms+of+Service,https://majorenergy.com/enroll/,0.786,Fixed,No,,12,0,0,No,,A great choice for new customers to lock in a fixed rate. Enjoy peace of mind with a consistent rate for 12 months. With this energy plan  there is no monthly service fee and no early termination fee.,HK::66c1199e94a79f31338277737a3d47c9b5ef5ec5,Major Energy Services LLC,0.786,12,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,0.678,Fixed,No,,24,0,0,No,,,HK::5b8c33d01b889e5f6aa465b338411913fc44eb64,Mercury Energy Marketing LLC,0.678,24,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=081EE58A-418A-4497-AC30-A1FA1B982D84&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=081EE58A-418A-4497-AC30-A1FA1B982D84&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.659,Fixed,No,,18,0,0,No,,Get peace of mind with a fixed rate for 18 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.659,18,0
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/04/D01.05.01g.pdf,https://www.getprovision.com/enroll-step-2/?utility=COH,0.95,Fixed,No,,12,0,0,No,,$0.95/ccf fixed for 12 months,HK::4f3347e43eb68605734ff8b66ef92c45c00af6de,Provision,0.95,12,0
